"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"11_0ml-1","904.05","199.02","501.48","121.57","250.23","216.13","36.93","45.41","242.72","64.41","210.44","12.16","29.12","25.76","70.01","357.93","23.62","7.97","2645","36.2","0","0","7.84","0","0","0"
"11_0ml-10","901.74","198.07","499.66","120.73","249.48","214.72","36.48","45","243.87","64.03","213.44","11.81","28.31","24.96","70.86","357.93","23.62","7.97","2605","36.2","0","0","7.64","0","0","0"
"11_0ml-2","902.51","198.07","500.57","120.73","248.73","214.72","36.48","45","243.87","64.41","214.43","11.81","28.31","24.96","70.86","359.03","23.62","7.97","2640","36.2","0","0","7.63","0","0","0"
"11_0ml-3","902.51","199.02","499.66","120.73","248.73","213.32","36.48","45","241.56","64.41","214.43","12.16","28.31","24.96","70.86","360.14","23.62","7.08","2633","36.2","0","0","7.63","0","0","0"
"11_0ml-4","902.51","199.02","500.57","118.2","248.73","209.81","35.57","43.77","238.09","64.03","204.46","11.81","28.31","24.96","70.86","351.3","23.62","7.97","2643","36.2","0","0","7.63","0","0","0"
"11_0ml-5","901.74","199.02","500.57","130.02","249.48","232.27","39.67","48.27","263.52","64.03","213.44","12.88","30.74","27.37","70.86","382.23","23.62","7.97","2652","36.2","0","0","7.63","0","0","0"
"11_0ml-6","901.74","199.02","500.57","120.73","249.48","213.32","36.48","44.59","241.56","64.03","213.44","11.81","28.31","24.96","70.86","360.14","23.62","7.97","2644","36.2","0","0","7.64","0","0","0"
"11_0ml-7","901.74","199.02","500.57","121.57","249.48","215.43","36.93","45","245.03","64.03","215.43","11.81","29.12","25.76","70.86","360.14","23.62","7.97","2650","36.2","0","0","7.64","0","0","0"
"11_0ml-8","901.74","199.02","500.57","118.2","249.48","209.11","35.57","43.77","236.94","64.03","204.46","11.81","28.31","24.96","70.86","351.3","23.62","7.97","2637","36.2","0","0","7.64","0","0","0"
"11_0ml-9","901.74","198.07","500.57","121.57","249.48","215.43","36.93","45","243.87","64.03","213.44","11.81","28.31","24.96","70.86","360.14","23.62","7.97","2603","36.2","0","0","7.64","0","0","0"
"115_0ml-1","722.47","145.44","364.54","94.56","175.31","160.69","29.64","35.18","137.54","50.47","89.76","9.3","16.99","16.1","35","113.79","14.4","7.08","2641","35","0","0","7.96","0","0","0"
"115_0ml-10","720.16","145.44","364.54","92.02","174.56","157.18","28.73","33.95","134.07","50.47","83.78","8.94","16.18","16.1","35","110.47","14.4","6.2","2651","35","0","0","7.92","0","0","0"
"115_0ml-2","720.93","145.44","363.64","92.02","174.56","157.18","28.73","33.95","134.07","50.1","83.78","8.94","16.18","16.1","34.15","110.47","14.4","6.2","2636","35","0","0","7.96","0","0","0"
"115_0ml-3","720.93","145.44","364.54","95.4","174.56","162.8","29.64","35.18","138.7","50.1","89.76","9.3","16.99","16.1","34.15","113.79","14.4","7.08","2634","35","0","0","7.96","0","0","0"
"115_0ml-4","720.93","145.44","364.54","93.71","175.31","159.99","29.64","34.77","136.38","50.1","88.77","8.94","16.99","16.1","35","112.68","14.4","7.08","2642","35","0","0","7.96","0","0","0"
"115_0ml-5","720.93","145.44","364.54","93.71","175.31","159.99","29.18","34.77","136.38","50.1","88.77","8.94","16.99","16.1","35","113.79","14.4","7.08","2639","35","0","0","7.96","0","0","0"
"115_0ml-6","720.93","145.44","364.54","94.56","174.56","162.1","29.64","35.18","137.54","50.47","88.77","9.3","16.99","16.1","35","112.68","14.4","7.08","2638","35","0","0","7.96","0","0","0"
"115_0ml-7","720.93","145.44","364.54","94.56","175.31","162.1","29.64","35.18","138.7","50.47","89.76","9.3","16.99","16.1","35","113.79","14.4","7.08","2689","35","0","0","7.92","0","0","0"
