"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"100_25ml-1","670.15","128.22","321.92","83.58","148.34","141.75","20.97","24.54","95.93","35.03","58.84","6.8","12.94","12.88","24.76","71.81","11.52","6.2","2596","36.1","0","0","8.02","0","0","0"
"100_25ml-1","684.77","133.96","330.99","87.8","154.33","148.76","21.43","24.95","101.71","34.65","66.82","7.15","13.75","13.69","25.61","74.02","12.1","6.2","2328","38.2","11.9","1.54","7.74","0.13","0.18","0.45"
"100_25ml-10","670.15","128.22","321.02","86.11","148.34","146.66","21.89","25.36","99.4","35.03","63.83","7.15","12.94","13.69","24.76","74.02","11.52","6.2","2604","36.1","9.5","1.62","7.87","0.13","0.18","0.47"
"100_25ml-10","683.23","133.96","330.99","86.96","154.33","148.06","21.89","25.36","100.55","34.65","67.82","7.15","13.75","13.69","25.61","72.91","12.1","6.2","2332","38.2","11.7","1.57","7.88","0.13","0.18","0.46"
"100_25ml-2","670.15","128.22","321.92","83.58","148.34","141.04","20.97","24.54","95.93","35.03","58.84","6.8","12.94","12.88","24.76","72.91","11.52","6.2","2608","36.1","9.1","1.61","7.74","0.13","0.18","0.47"
"100_25ml-2","684.77","133.96","330.09","86.96","155.08","147.36","21.43","24.95","100.55","34.65","66.82","7.15","13.75","13.69","25.61","74.02","12.1","6.2","2380","38.2","11.7","1.55","7.74","0.13","0.18","0.45"
"100_25ml-3","670.15","128.22","321.92","86.11","148.34","145.96","21.43","24.95","98.24","35.03","63.83","7.15","12.94","13.69","24.76","74.02","11.52","6.2","2609","36.1","9.3","1.62","7.74","0.13","0.18","0.47"
"100_25ml-3","684","133.96","330.99","81.05","155.08","136.83","20.06","22.91","93.62","35.03","66.82","6.44","12.94","12.88","25.61","68.49","12.1","6.2","2338","38.2","12.1","1.55","6.96","0.13","0.18","0.45"
"100_25ml-4","669.38","128.22","321.02","85.27","148.34","144.55","21.89","24.95","97.09","35.03","62.83","7.15","12.94","13.69","25.61","72.91","11.52","6.2","2609","36.1","9.3","1.62","7.74","0.13","0.18","0.47"
"100_25ml-4","684","133.96","330.99","87.8","155.08","149.46","21.89","25.36","101.71","35.03","66.82","7.15","13.75","13.69","25.61","74.02","12.1","6.2","2402","38.2","12.1","1.56","6.96","0.13","0.18","0.46"
"100_25ml-5","669.38","128.22","321.02","85.27","148.34","143.85","21.43","24.95","97.09","35.03","63.83","7.15","12.94","13.69","24.76","72.91","11.52","6.2","2587","36.1","9.3","1.61","7.92","0.13","0.18","0.47"
"100_25ml-5","684","133.96","330.99","82.74","154.33","136.83","20.06","23.32","93.62","35.03","66.82","6.8","12.94","12.88","25.61","68.49","12.1","6.2","2361","38.2","11.8","1.56","6.96","0.13","0.18","0.46"
"100_25ml-6","669.38","128.22","321.02","86.11","148.34","145.25","21.43","24.95","98.24","35.03","63.83","7.15","12.94","13.69","24.76","74.02","11.52","6.2","2604","36.1","9.4","1.62","7.92","0.13","0.18","0.47"
"100_25ml-6","684","133.96","330.99","93.71","154.33","159.99","23.25","27","109.8","34.65","66.82","7.51","14.56","15.3","25.61","78.43","12.1","6.2","2358","38.2","11.8","1.56","6.96","0.13","0.18","0.46"
"100_25ml-7","669.38","128.22","321.02","86.11","148.34","145.96","21.89","24.95","98.24","35.03","63.83","7.15","12.94","13.69","24.76","74.02","11.52","6.2","2582","36.1","9.4","1.62","7.92","0.13","0.18","0.47"
"100_25ml-7","683.23","133.96","330.09","86.96","154.33","148.06","21.89","25.36","100.55","34.28","66.82","7.15","13.75","13.69","25.61","72.91","12.1","6.2","2368","38.2","11.7","1.56","7.47","0.13","0.18","0.46"
"100_25ml-8","669.38","128.22","321.02","85.27","148.34","143.85","21.43","24.95","97.09","35.03","63.83","7.15","12.94","13.69","24.76","72.91","11.52","6.2","2616","36.1","9.5","1.62","7.92","0.13","0.18","0.47"
"100_25ml-8","683.23","133.96","330.99","94.56","154.33","160.69","23.25","27","109.8","35.03","66.82","7.51","14.56","15.3","25.61","78.43","12.1","6.2","2360","38.2","11.7","1.57","7.47","0.13","0.18","0.46"
"100_25ml-9","669.38","128.22","321.02","85.27","148.34","145.25","21.43","24.95","98.24","35.03","63.83","7.15","12.94","13.69","24.76","74.02","11.52","6.2","2604","36.1","9.5","1.62","7.87","0.13","0.18","0.47"
"100_25ml-9","683.23","133.96","330.99","86.96","154.33","147.36","21.43","24.95","100.55","35.03","67.82","7.15","13.75","13.69","25.61","72.91","12.1","6.2","2356","38.2","11.7","1.57","7.47","0.13","0.18","0.46"
"101_25ml-1","718.62","145.44","356.38","96.25","173.06","159.99","25.53","29.86","129.45","41.06","73.81","8.23","15.37","15.3","29.03","79.54","13.83","7.08","2421","38.5","0","0","6.97","0","0","0"
"101_25ml-10","717.08","145.44","357.29","95.4","173.06","158.59","25.53","29.86","128.29","41.06","72.81","8.23","15.37","15.3","29.88","79.54","13.83","6.2","2441","38.5","9","1.7","6.92","0.14","0.19","0.48"
"101_25ml-2","717.85","144.48","356.38","95.4","173.06","158.59","25.08","29.86","128.29","41.06","73.81","8.23","15.37","15.3","29.03","79.54","13.83","6.2","2444","38.5","9.3","1.76","7.05","0.14","0.19","0.49"
"101_25ml-3","718.62","145.44","356.38","96.25","173.06","159.29","25.53","29.86","129.45","41.06","73.81","8.23","15.37","15.3","29.03","79.54","13.83","6.2","2432","38.5","9.3","1.77","7.05","0.14","0.19","0.49"
"101_25ml-4","717.85","145.44","356.38","92.87","173.06","154.38","24.62","29.04","124.83","41.06","68.82","8.23","15.37","14.49","29.03","77.33","13.83","6.2","2432","38.5","9.2","1.77","7.05","0.14","0.19","0.49"
"101_25ml-5","717.85","144.48","356.38","95.4","173.06","159.29","25.53","30.27","129.45","41.06","73.81","8.23","16.18","15.3","29.03","79.54","13.83","6.2","2420","38.5","8.4","1.76","6.93","0.14","0.19","0.49"
"101_25ml-6","717.85","145.44","356.38","95.4","173.06","157.89","25.08","29.45","128.29","41.06","74.8","8.23","15.37","15.3","29.03","79.54","13.83","6.2","2440","38.5","8.4","1.77","6.93","0.14","0.19","0.49"
"101_25ml-7","717.85","145.44","356.38","96.25","173.06","159.99","25.53","29.86","129.45","41.06","74.8","8.23","16.18","15.3","29.03","79.54","13.83","6.2","2441","38.5","8.2","1.76","6.93","0.14","0.19","0.49"
"101_25ml-8","717.85","145.44","356.38","93.71","173.06","155.78","24.62","29.04","125.98","41.06","68.82","8.23","15.37","14.49","29.03","77.33","13.83","6.2","2442","38.5","8.2","1.76","6.93","0.14","0.19","0.49"
"101_25ml-9","717.08","145.44","356.38","93.71","173.06","155.08","24.62","29.04","125.98","41.06","68.82","8.23","15.37","15.3","29.03","78.43","13.83","6.2","2447","38.5","8.9","1.66","6.92","0.14","0.19","0.47"
